Machine name,Label,Type,Used for,Defined in,Description / usage,Security/ACL,Owner,Status,Last reviewed
EIC_VentureMatch,EIC VentureMatch,BAS programme parent tag,contact / activity / case / file,eic_config,"Parent tag for the EIC VentureMatch BAS programme. Contractors may add their own child tags underneath.",,,Active,
EIC_Coaching,EIC Coaching,BAS programme parent tag,contact / activity / case / file,eic_config,"Parent tag for the EIC Coaching BAS programme. Contractors may add their own child tags underneath.",,,Active,
EIC_Community_Programme,EIC Community Programme,BAS programme parent tag,contact / activity / case / file,eic_config,"Parent tag for the EIC Community Programme. Contractors may add their own child tags underneath.",,,Active,
EIC_Corporate_Partnership,EIC Corporate Partnership,BAS programme parent tag,contact / activity / case / file,eic_config,"Parent tag for the EIC Corporate Partnership BAS programme. Contractors may add their own child tags underneath.",,,Active,
EIC_Ecosystem_Partnership,EIC Ecosystem Partnership,BAS programme parent tag,contact / activity / case / file,eic_config,"Parent tag for the EIC Ecosystem Partnership BAS programme. Contractors may add their own child tags underneath.",,,Active,
EIC_Global_Business_Expansion,EIC Global Business Expansion,BAS programme parent tag,contact / activity / case / file,eic_config,"Parent tag for the EIC Global Business Expansion BAS programme. Contractors may add their own child tags underneath.",,,Active,
EIC_Innovation_Procurement,EIC Innovation Procurement,BAS programme parent tag,contact / activity / case / file,eic_config,"Parent tag for the EIC Innovation Procurement BAS programme. Contractors may add their own child tags underneath.",,,Active,
EIC_International_Trade_Fairs,EIC International Trade Fairs,BAS programme parent tag,contact / activity / case / file,eic_config,"Parent tag for the EIC International Trade Fairs BAS programme. Contractors may add their own child tags underneath.",,,Active,
EIC_Tech_to_Market_Programme,EIC Tech to Market Programme,BAS programme parent tag,contact / activity / case / file,eic_config,"Parent tag for the EIC Tech to Market Programme. Contractors may add their own child tags underneath.",,,Active,
EIC_Women_Leardership_Program,EIC Women Leadership Programme,BAS programme parent tag,contact / activity / case / file,eic_config,"Parent tag for the EIC Women Leadership Programme. Contractors may add their own child tags underneath. Note: machine name contains a typo (Leardership) - review before relying on it externally.",,,Active,Machine name typo 'Leardership'
