Extension,Custom group (title),Group machine name,Extends entity,Extends sub-type / case-type,Field label,Field machine name,Column name,Data type,HTML type,Option group,Multi-value,Required,Searchable,View-only,Source,Calculated,Current help_pre,Current help_post,Proposed help_post,Security/ACL,Owner,Status,Last reviewed
eic_config,Organisation identifiers,EIC_Organisation_identifiers,Organization,EIC_Awardee / Investor / EIC_Organisation,SMEDId,SMEDId,smed_id,String,Text,,No,No,No,No,EC corporate tools / import,No,,,"SME Database identifier for the organisation in the EC SME/participant systems. Source: EC corporate tools. Format: numeric id. Used for: matching the company to its EC SME records.",,,Active,
eic_config,Organisation identifiers,EIC_Organisation_identifiers,Organization,EIC_Awardee / Investor / EIC_Organisation,PIC,PIC,pic,String,Text,,No,No,In selector,No,EC corporate tools / import,No,"The Participant Identification Code (PIC) is a unique 9-digit reference number used by the European Commission to identify a legal entity across all EU funding programmes, including EIC calls, grants, prizes, and tenders.",,"Never overwritten once set. Used to match a company to its cases and to deduplicate. Format: 9 digits.",,,Active,Has help_pre already
eic_config,Organisation identifiers,EIC_Organisation_identifiers,Organization,EIC_Awardee / Investor / EIC_Organisation,Company Domain Name,Company_Domain_Name,company_domain_name,String,Text,,No,No,No,No,Import / manual,No,,,"The organisation's primary web domain (e.g. example.com). Source: import / manual. Used for: secondary matching of a company.",,,Active,
eic_config,EIC Awardee Additionnal Information,EIC_Awardee_Additionnal_Information,Organization,EIC_Awardee,Program,Program,program,String,Select,(programme list),No,No,No,No,EC corporate tools,No,,,"The EIC programme the organisation was funded/selected under (e.g. EIC Accelerator). Source: EC corporate tools.",,,Active,
eic_config,EIC Awardee Additionnal Information,EIC_Awardee_Additionnal_Information,Organization,EIC_Awardee,Research organisation,Research_organisation,research_organisation,Boolean,Toggle,,No,No,No,No,EC corporate tools,No,,,"Yes if the entity is a research organisation (RES) under EC legal-status rules. Source: EC corporate tools.",,,Active,Import maps CSV 1=No / 2=Yes
eic_config,EIC Awardee Additionnal Information,EIC_Awardee_Additionnal_Information,Organization,EIC_Awardee,Large research infrastructure,Large_research_infrastructure,large_research_infrastructure,Boolean,Toggle,,No,No,No,No,EC corporate tools,No,,,"Yes if the entity qualifies as a large research infrastructure. Source: EC corporate tools.",,,Active,
eic_config,EIC Awardee Additionnal Information,EIC_Awardee_Additionnal_Information,Organization,EIC_Awardee,Non-profit organisation,Non_profit_organisation,non_profit_org,Boolean,Toggle,,No,No,No,No,EC corporate tools,No,,,"Yes if the entity is a non-profit organisation (NPO). Source: EC corporate tools.",,,Active,
eic_config,EIC Awardee Additionnal Information,EIC_Awardee_Additionnal_Information,Organization,EIC_Awardee,Public body,Public_body,public_body,Boolean,Toggle,,No,No,No,No,EC corporate tools,No,,,"Yes if the entity is a public body (PUB). Source: EC corporate tools.",,,Active,
eic_config,EIC Awardee Additionnal Information,EIC_Awardee_Additionnal_Information,Organization,EIC_Awardee,International organisation,International_organisation,intl_org,Boolean,Toggle,,No,No,No,No,EC corporate tools,No,,,"Yes if the entity is an international organisation. Source: EC corporate tools.",,,Active,
eic_config,EIC Awardee Additionnal Information,EIC_Awardee_Additionnal_Information,Organization,EIC_Awardee,European interest,European_interest,eu_interest,Boolean,Toggle,,No,No,No,No,EC corporate tools,No,,,"Yes if the entity is an International Organisation of European Interest. Source: EC corporate tools.",,,Active,
eic_config,EIC Awardee Additionnal Information,EIC_Awardee_Additionnal_Information,Organization,EIC_Awardee,Legal status,Legal_status,legal_status,String,Select,(legal status list),No,No,No,No,EC corporate tools,No,,,"Legal status classification (e.g. LEGAL_PERSON / NATURAL_PERSON). Source: EC corporate tools.",,,Active,
eic_config,EIC Awardee Additionnal Information,EIC_Awardee_Additionnal_Information,Organization,EIC_Awardee,SME vs mid-cap status,SME_vs_mid_cap_status,sme_mid_cap,String,Select,Not an SME / SME / Mid-cap / N/A,No,No,No,No,EC corporate tools,No,,,"Whether the entity is an SME, a mid-cap, or neither, per EC validation. Source: EC corporate tools.",,,Active,
eic_config,EIC Awardee Additionnal Information,EIC_Awardee_Additionnal_Information,Organization,EIC_Awardee,SME status type,SME_status_type,sme_status_type,String,Select,Self-assessment / Validation services / N/A,No,No,No,No,EC corporate tools,No,,,"How the SME status was established: Self-assessment or Validation services. N/A when not an SME. Source: EC corporate tools.",,,Active,
eic_config,EIC Awardee Additionnal Information,EIC_Awardee_Additionnal_Information,Organization,EIC_Awardee,Higher or secondary education establishment,higher_or_secondary_education_establishment,edu_est,Boolean,Toggle,,No,No,No,No,EC corporate tools,No,,,"Yes if the entity is a higher or secondary education establishment (HES). Source: EC corporate tools.",,,Active,
eic_config,EIC Awardee Additionnal Information,EIC_Awardee_Additionnal_Information,Organization,EIC_Awardee,Legal personality,Legal_personality,legal_personality,Boolean,Toggle,,No,No,No,No,EC corporate tools,No,,,"Yes if the entity has legal personality. Source: EC corporate tools.",,,Active,html_type fixed Text->Toggle
eic_config,EIC Awardee representative,EIC_Awardee_representative,Individual,EIC_Registered,EU Login,eulogin,eulogin,String,Text,,No,No,No,No,Import / manual,No,,,"The person's EU Login username/email used for EC portals. Source: import (person CSV) / manual. Used for: deduplicating representative contacts.",,,Active,column_name fixed via eic_config upgrade_1009; label was 'eulogin'
eic_config,Horizon europe Relationship,EIC_Horizon_europe_Relationship,Relationship,CoCo / PaCo / LEAR / PCoCo / member,Horizon Europe Project,Horizon_Europe_Project,he_project,EntityReference,Autocomplete-Select,,No,No,No,No,Import / form processor,No,,,"The EIC Awardee Project activity this relationship relates to, so a person's role (CoCo/PaCo/LEAR...) is tied to a specific project. Source: import / form processor.",,,Active,
eic_config,Horizon Europe Project Activity,EIC_Horizon_Europe_Project_information,Activity,EIC_Awardee_Project,Project Title,Project_Title,project_title,String,Text,,No,No,No,No,Import (EC corporate tools),No,,,"Full title of the funded project. Source: import (EC corporate tools).",,,Active,
eic_config,Horizon Europe Project Activity,EIC_Horizon_Europe_Project_information,Activity,EIC_Awardee_Project,Project Number,Project_Number,project_number,String,Text,,No,No,Yes,No,EC corporate tools,No,,,"EC grant/project number - the primary key used to match this project during imports. Source: EC corporate tools.",,,Active,
eic_config,Horizon Europe Project Activity,EIC_Horizon_Europe_Project_information,Activity,EIC_Awardee_Project,EC tool status,EC_tool_status,ec_tool_status,String,Text,,No,No,No,No,EC corporate tools,No,,,"Project status as reported by the EC tools (e.g. Ongoing, Completed, Cancelled). Source: EC corporate tools.",,,Active,
eic_config,Horizon Europe Project Activity,EIC_Horizon_Europe_Project_information,Activity,EIC_Awardee_Project,Coordinator,Coordinator,coordinator,ContactReference,Autocomplete-Select,filter EIC_Awardee,No,Yes,No,No,Import / manual,No,,,"The coordinating EIC Awardee organisation for this project (required). Source: import / manual.",,,Active,
eic_config,Horizon Europe Project Activity,EIC_Horizon_Europe_Project_information,Activity,EIC_Awardee_Project,Partners,Partners,partners,ContactReference,Autocomplete-Select,filter EIC_Awardee,Yes,No,No,No,Import / manual,No,,,"Consortium partner organisations (EIC Awardees) on this project. Source: import / manual.",,,Active,
eic_config,Horizon Europe Project Activity,EIC_Horizon_Europe_Project_information,Activity,EIC_Awardee_Project,Cut-Off-Date,Cut_Off_Date,cut_off_date,Date,Select Date,,No,Yes,Yes,No,Import / manual,No,,,"The call cut-off date this project belongs to (required). Source: import / manual.",,,Active,
eic_config,Horizon Europe Project Activity,EIC_Horizon_Europe_Project_information,Activity,EIC_Awardee_Project,Category,Category,category,String,Select,EIC_Horizon_Europe_Project_Activity_Category,No,No,No,No,Import / manual,No,,,"Type of record: HE Project, HE Seal of Excellence, or H2020. Source: import (derived from programme) / manual.",,,Active,
eic_config,Horizon Europe Project Activity,EIC_Horizon_Europe_Project_information,Activity,EIC_Awardee_Project,Funding,Funding,funding,String,Select,eic_he_project_funding,No,No,Yes,No,Import / manual,No,,,"EIC funding scheme/instrument (e.g. EIC Accelerator, Pathfinder, Transition). Source: import / manual.",,,Active,
eic_config,Horizon Europe Project Activity,EIC_Horizon_Europe_Project_information,Activity,EIC_Awardee_Project,Funding Type,Funding_Type,funding_type,String,Select,EIC_Horizon_Europe_Project_Funding_Type_2,No,No,No,No,Import / manual,No,,,"How the award is structured: Blended, Grant first, Grant only, or Investment only. Source: import / manual.",,,Active,
eic_config,Horizon Europe Project Activity,EIC_Horizon_Europe_Project_information,Activity,EIC_Awardee_Project,Grant Proposed,Grant_Proposed,grant_proposed,Money,Text,,No,No,No,No,Import / manual,No,,,"Grant amount proposed for the project. Source: import / manual. Format: money.",,,Active,
eic_config,Horizon Europe Project Activity,EIC_Horizon_Europe_Project_information,Activity,EIC_Awardee_Project,Equity Proposed,Equity_Proposed,equity_proposed,Money,Text,,No,No,No,No,Import / manual,No,,,"Equity/investment amount proposed for the project. Source: import / manual. Format: money.",,,Active,
eic_config,Horizon Europe Project Activity,EIC_Horizon_Europe_Project_information,Activity,EIC_Awardee_Project,Start Date,Start_Date,start_date,Date,Select Date,,No,No,No,No,Import / manual,No,,,"Project start date. Source: import / manual.",,,Active,
eic_config,Horizon Europe Project Activity,EIC_Horizon_Europe_Project_information,Activity,EIC_Awardee_Project,End Date,End_Date,end_date,Date,Select Date,,No,No,No,No,Import / manual,No,,,"Project end date. Source: import / manual.",,,Active,
eic_config,Horizon Europe Project Activity,EIC_Horizon_Europe_Project_information,Activity,EIC_Awardee_Project,Duration (Month),Duration,duration_months,Int,Text,,No,No,No,No,Import / manual,Candidate,,,"Project length in whole months. Recommended: Calculated from Start Date and End Date (read-only). Format: integer months.",,,Active,Calculated candidate
eic_config,Horizon Europe Project Activity,EIC_Horizon_Europe_Project_information,Activity,EIC_Awardee_Project,Master,Master,master_sector,String,Select,eic_master_sector,No,No,No,No,Import / manual,Candidate,,,"Master sector (Green / Digital / Health / Social). Recommended: Calculated from the Primary sector code prefix (G./D./H./S.). Source: import / manual for now.",,,Active,Calculated candidate
eic_config,Horizon Europe Project Activity,EIC_Horizon_Europe_Project_information,Activity,EIC_Awardee_Project,Primary,Primary,primary_sector,String,Select,eic_primary_sector,No,No,No,No,Import / manual,No,,,"Primary EIC sector for the project. Option values carry their own descriptions. Source: import / manual.",,,Active,
eic_config,Horizon Europe Project Activity,EIC_Horizon_Europe_Project_information,Activity,EIC_Awardee_Project,Subsector 1,Subsector_1,subsector_1,String,Select,eic_primary_sector,No,No,No,No,Import / manual,No,,,"Secondary EIC sector classification. Same option list as Primary. Source: import / manual.",,,Active,
eic_config,Horizon Europe Project Activity,EIC_Horizon_Europe_Project_information,Activity,EIC_Awardee_Project,Subsector 2,Subsector_2,subsector_2,String,Select,eic_primary_sector,No,No,No,No,Import / manual,No,,,"Secondary EIC sector classification. Same option list as Primary. Source: import / manual.",,,Active,
eic_config,Horizon Europe Project Activity,EIC_Horizon_Europe_Project_information,Activity,EIC_Awardee_Project,Tech cluster 1,Tech_cluster_1,tech_cluster_1,String,Select,eic_primary_sector,No,No,No,No,Import / manual,No,,,"Technology-cluster tag from the EIC sector taxonomy. Source: import / manual.",,,Active,
eic_config,Horizon Europe Project Activity,EIC_Horizon_Europe_Project_information,Activity,EIC_Awardee_Project,Tech cluster 2,Tech_cluster_2,tech_cluster_2,String,Select,eic_primary_sector,No,No,No,No,Import / manual,No,,,"Technology-cluster tag from the EIC sector taxonomy. Source: import / manual.",,,Active,
eic_config,Horizon Europe Project Activity,EIC_Horizon_Europe_Project_information,Activity,EIC_Awardee_Project,Tech cluster 3,Tech_cluster_3,tech_cluster_3,String,Select,eic_primary_sector,No,No,No,No,Import / manual,No,,,"Technology-cluster tag from the EIC sector taxonomy. Source: import / manual.",,,Active,
eic_config,Horizon Europe Project Activity,EIC_Horizon_Europe_Project_information,Activity,EIC_Awardee_Project,Tech cluster 4,Tech_cluster_4,tech_cluster_4,String,Select,eic_primary_sector,No,No,No,No,Import / manual,No,,,"Technology-cluster tag from the EIC sector taxonomy. Source: import / manual.",,,Active,
eic_config,Horizon Europe Project Activity,EIC_Horizon_Europe_Project_information,Activity,EIC_Awardee_Project,Tech cluster 5,Tech_cluster_5,tech_cluster_5,String,Select,eic_primary_sector,No,No,No,No,Import / manual,No,,,"Technology-cluster tag from the EIC sector taxonomy. Source: import / manual.",,,Active,
