Custom Group,Extends (entity / sub-type),Label,Machine name,Column name,Data type,HTML type,Options,Required,Searchable,Source,Current help_pre,Current help_post,Proposed help_post,Notes
Organisation identifiers,Organization (EIC_Awardee / Investor / EIC_Organisation),SMEDId,SMEDId,smed_id,Text,Text,,No,No,EC corporate tools / import,,,"SME Database identifier for the organisation in the EC SME/participant systems. Source: EC corporate tools. Format: numeric id. Used for: matching the company to its EC SME records.",
Organisation identifiers,Organization (EIC_Awardee / Investor / EIC_Organisation),PIC,PIC,pic,Text,Text,,No,In selector,EC corporate tools / import,"The Participant Identification Code (PIC) is a unique 9-digit reference number used by the European Commission to identify a legal entity (company, university, research centre, public body, NGO, etc.) across all EU funding programmes, including European Innovation Council (EIC) calls, grants, prizes, and tenders.",,"Never overwritten once set. Used to match a company to its cases and to deduplicate. Format: 9 digits.",Already has help_pre - keep it; help_post optional
Organisation identifiers,Organization (EIC_Awardee / Investor / EIC_Organisation),Company Domain Name,Company_Domain_Name,company_domain_name,Text,Text,,No,No,Import / manual,,,"The organisation's primary web domain (e.g. example.com). Source: import / manual. Used for: secondary matching of a company.",
EIC Awardee Additionnal Information,Organization (EIC_Awardee),Program,Program,program,String,Select,EIC Accelerator,No,No,EC corporate tools,,,"The EIC programme the organisation was funded/selected under (e.g. EIC Accelerator). Source: EC corporate tools.",Group help: 'This information come from the EC corporate tools.'
EIC Awardee Additionnal Information,Organization (EIC_Awardee),Research organisation,Research_organisation,research_organisation,Boolean,Toggle,,No,No,EC corporate tools,,,"Yes if the entity is a research organisation (RES) under EC legal-status rules. Source: EC corporate tools.",Import maps CSV 1=No / 2=Yes
EIC Awardee Additionnal Information,Organization (EIC_Awardee),Large research infrastructure,Large_research_infrastructure,large_research_infrastructure,Boolean,Toggle,,No,No,EC corporate tools,,,"Yes if the entity qualifies as a large research infrastructure. Source: EC corporate tools.",
EIC Awardee Additionnal Information,Organization (EIC_Awardee),Non-profit organisation,Non_profit_organisation,non_profit_org,Boolean,Toggle,,No,No,EC corporate tools,,,"Yes if the entity is a non-profit organisation (NPO). Source: EC corporate tools.",
EIC Awardee Additionnal Information,Organization (EIC_Awardee),Public body,Public_body,public_body,Boolean,Toggle,,No,No,EC corporate tools,,,"Yes if the entity is a public body (PUB). Source: EC corporate tools.",
EIC Awardee Additionnal Information,Organization (EIC_Awardee),International organisation,International_organisation,intl_org,Boolean,Toggle,,No,No,EC corporate tools,,,"Yes if the entity is an international organisation. Source: EC corporate tools.",
EIC Awardee Additionnal Information,Organization (EIC_Awardee),European interest,European_interest,eu_interest,Boolean,Toggle,,No,No,EC corporate tools,,,"Yes if the entity is an International Organisation of European Interest. Source: EC corporate tools.",
EIC Awardee Additionnal Information,Organization (EIC_Awardee),Legal status,Legal_status,legal_status,String,Select,LEGAL_PERSON,No,No,EC corporate tools,,,"Legal status classification (e.g. LEGAL_PERSON / NATURAL_PERSON). Source: EC corporate tools.",
EIC Awardee Additionnal Information,Organization (EIC_Awardee),SME vs mid-cap status,SME_vs_mid_cap_status,sme_mid_cap,String,Select,Not an SME / SME / Mid-cap / N/A,No,No,EC corporate tools,,,"Whether the entity is an SME, a mid-cap, or neither, per EC validation. Values: Not an SME / SME / Mid-cap / N/A. Source: EC corporate tools.",
EIC Awardee Additionnal Information,Organization (EIC_Awardee),SME status type,SME_status_type,sme_status_type,String,Select,Self-assessment / Validation services / N/A,No,No,EC corporate tools,,,"How the SME status was established: Self-assessment or Validation services. N/A when not an SME. Source: EC corporate tools.",
EIC Awardee Additionnal Information,Organization (EIC_Awardee),Higher or secondary education establishment,higher_or_secondary_education_establishment,edu_est,Boolean,Toggle,,No,No,EC corporate tools,,,"Yes if the entity is a higher or secondary education establishment (HES). Source: EC corporate tools.",
EIC Awardee Additionnal Information,Organization (EIC_Awardee),Legal personality,Legal_personality,legal_personality,Boolean,Toggle,,No,No,EC corporate tools,,,"Yes if the entity has legal personality. Source: EC corporate tools.",FIXED: html_type was Text - changed to Toggle
EIC Awardee representative,Individual (EIC_Registered),EU Login,eulogin,eulogin,Text,Text,,No,No,Import / manual,,,"The person's EU Login username/email used for EC portals. Source: import (person CSV) / manual. Used for: deduplicating representative contacts.",FIXED: column_name was funds_vintage_year - renamed via eic_config upgrade_1009; label was 'eulogin'
Horizon europe Relationship,Relationship (CoCo / PaCo / LEAR / PCoCo / member),Horizon Europe Project,Horizon_Europe_Project,he_project,EntityReference,Autocomplete-Select,FK to Activity,No,No,Import / form processor,,,"The EIC Awardee Project activity this relationship relates to, so a person's role (CoCo/PaCo/LEAR...) is tied to a specific project. Source: import / form processor.",
Horizon Europe Project Activity,Activity (EIC_Awardee_Project),Project Title,Project_Title,project_title,Text,Text,,No,No,Import (EC corporate tools),,,"Full title of the funded project. Source: import (EC corporate tools).",
Horizon Europe Project Activity,Activity (EIC_Awardee_Project),Project Number,Project_Number,project_number,Text,Text,,No,Yes,EC corporate tools,,,"EC grant/project number - the primary key used to match this project during imports. Source: EC corporate tools.",
Horizon Europe Project Activity,Activity (EIC_Awardee_Project),EC tool status,EC_tool_status,ec_tool_status,Text,Text,,No,No,EC corporate tools,,,"Project status as reported by the EC tools (e.g. Ongoing, Completed, Cancelled). Source: EC corporate tools.",
Horizon Europe Project Activity,Activity (EIC_Awardee_Project),Coordinator,Coordinator,coordinator,ContactReference,Autocomplete-Select,filter: EIC_Awardee,Yes,No,Import / manual,,,"The coordinating EIC Awardee organisation for this project (required). Source: import / manual.",
Horizon Europe Project Activity,Activity (EIC_Awardee_Project),Partners,Partners,partners,ContactReference (multi),Autocomplete-Select,filter: EIC_Awardee,No,No,Import / manual,,,"Consortium partner organisations (EIC Awardees) on this project. Source: import / manual.",
Horizon Europe Project Activity,Activity (EIC_Awardee_Project),Cut-Off-Date,Cut_Off_Date,cut_off_date,Date,Select Date,,Yes,Yes,Import / manual,,,"The call cut-off date this project belongs to (required). Source: import / manual.",
Horizon Europe Project Activity,Activity (EIC_Awardee_Project),Category,Category,category,String,Select,HE Project / HE SoE / H2020 Project,No,No,Import / manual,,,"Type of record: HE Project, HE Seal of Excellence, or H2020. Source: import (derived from program) / manual.",
Horizon Europe Project Activity,Activity (EIC_Awardee_Project),Funding,Funding,funding,String,Select,"EIC Accelerator / EIC STEP / EIC Pathfinder / EIC Transition / EIC Pre-Accelerator / European Innovation Ecosystems / Fast Track to Innovation / FET Open/Proactive / EIT / EIC Prizes / EIC Boosters / Other Framework Programs / SME Instrument Phase 1 / SME Instrument Phase 2 / EIC Pilot",No,Yes,Import / manual,,,"EIC funding scheme/instrument (e.g. EIC Accelerator, Pathfinder, Transition). Source: import / manual.",
Horizon Europe Project Activity,Activity (EIC_Awardee_Project),Funding Type,Funding_Type,funding_type,String,Select,Blended / Grant first / Grant only / Investment only,No,No,Import / manual,,,"How the award is structured: Blended, Grant first, Grant only, or Investment only. Source: import / manual.",
Horizon Europe Project Activity,Activity (EIC_Awardee_Project),Grant Proposed,Grant_Proposed,grant_proposed,Money,Text,,No,No,Import / manual,,,"Grant amount proposed for the project. Source: import / manual. Format: money.",
Horizon Europe Project Activity,Activity (EIC_Awardee_Project),Equity Proposed,Equity_Proposed,equity_proposed,Money,Text,,No,No,Import / manual,,,"Equity/investment amount proposed for the project. Source: import / manual. Format: money.",
Horizon Europe Project Activity,Activity (EIC_Awardee_Project),Start Date,Start_Date,start_date,Date,Select Date,,No,No,Import / manual,,,"Project start date. Source: import / manual.",
Horizon Europe Project Activity,Activity (EIC_Awardee_Project),End Date,End_Date,end_date,Date,Select Date,,No,No,Import / manual,,,"Project end date. Source: import / manual.",
Horizon Europe Project Activity,Activity (EIC_Awardee_Project),Duration (Month),Duration,duration_months,Int,Text,,No,No,Import / manual (candidate: calculated),,,"Project length in whole months. Recommended: Calculated from Start Date and End Date (read-only). Format: integer months.",Calculated candidate - see CUSTOM_FIELD_REQUEST.md
